ORF	NAME	alpha 0	alpha 7	alpha 14	alpha 21	alpha 28	alpha 35	alpha 42	alpha 49	alpha 56	alpha 63	alpha 70	alpha 77	alpha 84	alpha 91	alpha 98	alpha 105	alpha 112	alpha 119	Elu 0	Elu 30	Elu 60	Elu 90	Elu 120	Elu 150	Elu 180	Elu 210	Elu 240	Elu 270	Elu 300	Elu 330	Elu 360	Elu 390	cdc15 10	cdc15 30	cdc15 50	cdc15 70	cdc15 90	cdc15 110	cdc15 130	cdc15 150	cdc15 170	cdc15 190	cdc15 210	cdc15 230	cdc15 250	cdc15 270	cdc15 290	spo 0	spo 2	spo 5	spo 7	spo 9	spo 11	spo5 2	spo5 7	spo5 11	spo- early	spo- mid	heat 0	heat 10	heat 20	heat 40	heat 80	heat 160	dtt 15	dtt 30	dtt 60	dtt 120	cold 0	cold 20	cold 40	cold 160	diau a	diau b	diau c	diau d	diau e	diau f	diau g
YDR204W	COQ4   UBIQUINONE BIOSYNTHESIS  UNKNOWN	-0.06	0.2	0.04	-0.22	-0.3	-0.54	-0.17	-0.67	-0.34	0.08	-0.25	-0.15	-0.17	-0.67	-0.47	-0.45	-0.36	-0.36	0.87	-0.01	0.15	-0.27	-0.42	-0.71	-0.2	0.08	0.12	-0.03	-0.15	0.29	0.42	0.44	-0.49	-0.25	-0.43	-0.32	-0.34	-0.14	-0.1	0.03	-0.32	-0.1	-0.01	0.03	0.5	0.57	0.82	-0.12	0.39	0.42	1.32	1.18	1.37	-0.09	0.68	0.77	0.43	0.24	0.15	1.67	0.91	0.59	0.62	0.26	-0.07	-0.1	0.41	0.16	-0.1	0.19	0.28	-0.06	-0.56	0.16	0.03	-0.3	-0.1	0.8	0.3
YLR093C	NYV1   VACUOLAR PROTEIN TARGETI VACUOLAR V-SNARE	-0.03	-0.01	-0.2	-0.18	-0.22	-0.18	-0.32	-0.42	-0.15	-0.58	-0.18	-0.4	-0.15	-0.42	-0.23	-0.15		-0.32	0.69	-0.12	0.01	-0.23	-0.56	-0.4	-0.64	-0.27	-0.32	-0.49	-0.32	-0.32	-0.04	-0.34	-0.06	0.03	0.21	-0.06	-0.12	-0.09	0.14	0.18	0.24	-0.27		-0.07	0.62	0.48	0.8	-0.12	-0.1	-0.03	1.1	1.36	1.64	-0.2	1.1	1.67	-0.56	-1.64	-0.17	-0.32	-0.23	-0.89	-0.64	-0.49	-0.1	0.54	-0.04	0.34	-0.29	0.2	-0.15	-0.49	0.21	0.01	0.1	0.19	0.38	1.75	0.96
YOR089C	VPS21  ENDOCYTOSIS      RAB5-LIKE GTPASE	0.11	-0.2	-0.01	-0.09	-0.27	0.34	0.06	-0.03	-0.1	-0.22	-0.15	-0.4	-0.27	-0.29	0.08	-0.23	0.16	0.01	1.21	-0.04	-0.32	-0.2	0.04	-0.34	-0.18	-0.03	-0.04	-0.4	-0.2	-0.06	0.07	-0.15	0.46	0.3	0.34	0.36	0.25	0.2	0.43	0.23	0.4	0.51	0.36	0.15	0.95	0.69	1.01	-0.32	-0.81	-0.76	0.85	0.94	0.9	0.25	1.4	1.61	-0.58	-0.04	-0.22	-0.15	-0.27	-0.38	-0.49	-0.58	0.1	0.28	-0.25	0.21	-0.06	-0.15	-0.79	-0.12	0.06	0.07	0.07	-0.34	0.25	1.73	0.72
YNR007C	AUT1   AUTOPHAGY        UNKNOWN	0.03	0.12	0.23	-0.29	0.12	0.26	0.12	-0.04	0.24	-0.42	0.52	-0.01	0.29	-0.36	0.16	0.15	-0.18	0.07	0.31	-0.42	0.16	-0.07	-0.18	-0.38	-0.32	-0.01	-0.15	-0.51	-0.4	-0.07	-0.17	-0.04	0.08	0.34	0.39	-0.04	-0.04	-0.06	0.3	-0.09	0.21	0.08	-0.54	0.31	0.7	0.53	0.62	-0.32	-0.23	0.89	1.99	1.8	1.6	-0.94	1.26	0.77	0.14	0.4	0.33	0.29	0.2	-0.15	-0.4	0.34	-0.29	-0.18	-0.18	0.11	0.33	0.6	0.4		-0.2	-0.23	-0.1	0.07	-0.1	2.19	1.66
YGR193C	PDX1   GLYCOLYSIS       PYRUVATE DEHYDROGENASE	-0.14	-0.38	0.08	-0.29	0.07	-0.09	0.29	-0.2	0.07	0.11	-0.17	0.06	-0.2	-0.12	0.04		-0.06		0.46	-0.25	-0.23	-0.49	-0.49	-0.34	-0.47	0.3	0.18	0.19	0.01	0.33	0.29	0.11	-0.17	-0.06	-0.1	0.04	0.1		0.21	-0.14	0.14	0.12	0.12	0.23	0.63	0.33	0.6	-0.04	0.29	0.41	1.2	0.99	0.95	0.55	0.53	0.3	0.58	0.67	-0.18	0.15	0.15	-0.32	-0.23	-0.2		0.2	0.14	-0.17	-0.58	0.16	0.1	-0.15	-0.34	-0.04	0.31	-0.04	-0.12	0.52	0.15
YNL039W	TFC5   TRANSCRIPTION       TFIIIB 90 KD SUBUNIT	-0.69	-0.29	-0.2	-0.04	-0.36	0.21	0.65		-0.51	0.08	-0.06	0.36	-0.32	-0.4	-0.43	-0.06	-0.36	-0.34	-0.1	-0.36	0.33	0.04	-0.06	-0.12	-0.23	0.19	-0.14	0.1	0.01	-0.01	-0.03	0.04	0.21	0.25	0.06	-0.27	-0.54	-0.38	-0.18	0.01	0.39	-0.67	-0.18	-0.22	-0.94	-0.04	-0.32	0.01	0.06	0.4		0.19	0.85	-0.15	0.45	0.52	0.73	0.56	-0.47	-0.23	-0.38	-0.01	-0.03	0.43	-0.09	0.1	-0.17	-0.1	-0.4	0.43	-0.14	0.18	0.11	-0.25	-0.27	-0.38	-0.42	-0.25	-0.38
YER042W	NONE   OXIDATIVE STRESS RESPONS PEPTIDE-METHIONINE SULFOXIDE REDUCTASE	-0.29	1.1	-0.2	-0.06	-0.42	0.44	0.32	0.7	0.42	0.06	0.03	-0.14	-0.18	-0.3	-0.29	0.1	0.18	0.29	-0.25	0.61	0.1	-0.43	0.23	0.14	0.32	-0.34	-0.34	-0.12	0.31	-0.25	-0.58	-0.3	-0.49	-0.12	0.4	0.81	0.51	-0.17	-0.1	0.3	0.71	0.19	0.12	0.11	0.19	0.07	0.23	0.29	0.69	0.11	0.9	0.88	1.07	0.45	0.49	0.58	0.75	0.54	-0.58	-0.69	-0.34	-0.56	-0.36	-0.12	-0.62	-0.56	-0.89	-0.54	-0.38	0.15	-0.03	-0.23	-0.04	-0.03	0.18	-0.42	-0.51	0.1	-0.74
YER112W	USS1   MRNA SPLICING       U6 SNRNP PROTEIN	-0.14	0.25		0.2	-0.01	0.23	-0.23	0.19	0.19	-0.18	0.19	0.25	0.26	-0.07	0.01	0.19	0.12	0.04	0.5	0.08	0.16	0.24	0.4	0.32	0.18	-0.17	-0.38	-0.3	0.3	-0.32	-0.23	-0.09	0.16	0.28	0.15	-0.1	-0.22	-0.09	0.16	0.25	0.4	-0.17	-0.14	0.63	0.33	-0.03	0.44	0.15	0.67	0.82	0.58	0.89	1	-0.01	0.04	0.1	1.05	0.76	-0.27	-0.62	-0.38	-0.3	-1.22	-0.12	-0.23	0.63	-0.89	-0.56	0.48	0.58	0.72	0.61	0.3	0.11	0.15	-0.23	-0.47	0.03	-0.51
YGL154C	LYS5   LYSINE BIOSYNTHESIS    AMINOADIPATE-SEMIALDEHYDE DEHYDROGENASE SUBUNIT	-0.2	-0.17	-0.15	0.04	-0.25	0.14	-0.32	0.04	-0.09	0.04	-0.25	-0.27	-0.07	-0.29	-0.25	-0.22	-0.04	-0.18	0.29	0.07	-0.38	0.25	0.18	0.03	0.19	-0.25	-0.27	-0.27	0.24	-0.36	-0.49	-0.18	-0.6	-0.14	-0.14	0.01	-0.3	-0.1	-0.3	-0.04	-0.12	-0.18	-0.01	0.23	-0.07	-0.27	-0.09	-0.34		0.12	0.36	0.44	0.79	0.55	-0.29	-0.27	0.75	0.86	-0.45	-0.38	-0.15	-0.3	-1.36	-0.01	-0.22	0.01	-0.3	-0.43	-0.2	0.08	-0.29		-0.32	-0.47	0.11	-0.51	-0.67	0.32	-0.4
YKL208W	"CBT1   MRNA PROCESSING, COB MRN UNKNOWN"	-0.32	-1.18	-0.67	-0.4	-0.49	0.07	-0.25	-0.49	-0.17	-0.15	-0.58	-0.22	-0.36	-0.71	-0.86	-0.49	-0.42	-0.14	-0.29	-0.04	-0.22	0.06	0.16	-0.12	-0.58	-0.14	-0.3	-0.32	-0.03	-0.12	-0.67		-0.17	-0.47	-0.03	-0.03	-0.54	-0.03	-1.25	-0.09	-0.04	-0.15	-0.43	0.75	-0.3	-0.12	-0.22	-0.09	-0.03	0.11	0.98	0.68	0.9	-0.23	0.56	-0.34	0.41	0.62	-0.01	-0.22	0.29	0.08	-0.23	0.34	-0.71	0.08	-0.6	0.04	-0.32	0.53	0.2	0.06	-0.09	-0.22	-0.04	0.06	0.18	0.26	-0.38
YER068W	MOT2   MATING         TRANSCRIPTIONAL REGULATOR	-0.45	0.07	-0.03	0.26	-0.32	0.54	-0.36	0.01		0.37	0.16	0.12	-0.06	0.01	-0.1	0.32	0.08	0.14	0.28	0.11	-0.22	0.46	0.14	0.33	0.15	0.1	0.11	0.32	0.25	-0.12	-0.04	0.23	-1.18	-0.38	0.04	0.03	-0.92	0.12	-0.32	1.43	-0.4	-0.89	-0.64	0.36	-0.56	-0.43	-1.43	0.21	0.78	0.96	1.06	0.78	1.16	-0.09	0.32	0.04	1.17	1.48	-0.25	-0.17	-0.23	-0.07	-0.27	0.44	-0.04	-0.12	0.16	0.26	-0.27		0.21	0.91	-0.14	0.24	0.06	-0.38	-0.67	0.06	-0.45
YCR067C	SED4   SECRETION        ER VESICLE FORMATION	-0.18	-0.62	0.11	-0.25	0.12	0.21	-0.03	0.16	-0.09	0.2	0.1	-0.25	-0.15	-0.67	-0.06	-0.36	-0.03	0.55	-0.54	-0.81	-0.42	-1.29	-0.47	-1.03	-0.94	-0.38	-0.15	-0.3	-0.54	-0.06	-0.27	-0.23	-0.23	-0.27	-0.56	-0.17	-0.51	-0.17	0.1	-0.09	-0.04	-0.45	-0.4	-0.32	-0.49	-0.42	-0.69	0.01	-0.1	0.21	0.82	1.24	1.51	-0.56	0.7	0.96	0.28	0.64	0.03	0.21	0.38	0.74	0.1	0.29	-0.45	-0.38	-0.69	-1.06	-0.15	0.43	0.64	-0.84	-0.01	0.43		-0.29	-0.22	-0.6	-0.23
YER168C	CCA1   TRNA PROCESSING     TRNA NUCLEOTIDYLTRANSFERASE	0.1	-0.25	0.01	-0.09	0.03	0.01	-0.17	0.18	0.41	-0.03	0.45	0.4	-0.6	-0.1	0.07	0.4	-0.14	-0.15	-0.79	-0.29	-0.23	0.34	-0.04	0.1	0.07		-0.25	-0.14	-0.06	-0.43	-0.4	-0.1	0.14	0.19	-0.25	-0.18	-0.84	-0.54	-0.29	0.36	0.36	-1.03	-0.81	0.46	-0.86	0.06	-0.92	0.14	-0.43	0.2	0.88	0.75	0.73	-0.84	0.63	0.3	-0.23	-0.01	-0.09	-0.32	-0.04	0.21	-0.12	0.06	-0.43	-0.3	-0.27	-0.36	-0.09	-0.01	-0.07	0.62	0.32	0.16	0.24	-0.49	-0.42	-0.22	-0.34
YIL048W	NEO1   NEOMYCIN RESISTANCE    ATPASE	-0.09	-0.36	-0.2	-0.15	-0.17	-0.07	-0.04	0.19	0.25	-0.14	0.32	-0.01	-0.06	-0.1	0.2	0.41	-0.34	-0.12	0.01	-0.12	-0.12	-0.18	-0.4	-0.2	-0.01	-0.17	-0.12	-0.07	-0.04	-0.07	-0.01	-0.2	-0.17	-0.14	-0.06	-0.06	-0.49	-0.38	-0.79	1.18	-0.27	-0.58	-0.58	-0.56	-1.69		-0.62	-0.34	-0.76	0.14	1.04	1.1	1.1	-0.97	0.53	0.23	-0.32	-0.17	-0.04	0.3		0.58	0.25	0.32	-0.6	-0.4	-0.12	-0.29	-0.17	-0.14	-0.22	0.1	-0.47	-0.17	-0.09	-0.12	-0.42	-0.58	-0.17
YOL135C	MED7   TRANSCRIPTION       RNA POLYMERASE II MEDIATOR SUBUNIT	-0.23	-0.49	-0.34	-0.43	-0.22	-0.36	-0.06	-0.22	-0.32	-0.6	-0.23	-0.4	-0.23	-0.58	-0.25	-0.3	-0.09	0.12	0.21	-0.1	-0.4	-0.62		0.07	-0.04	-0.06	-0.07	-0.18	-0.23	-0.01	0.04	-0.32	-0.15	0.26	0.08	0.11	0.04	-0.04	0.01	0.12	-0.09	-0.42	-0.34	-0.43	-0.12	-0.22	-0.2	-0.56	0.16		1.17	0.86	0.42	-0.38	0.6	-0.01	-0.18	-0.04	0.1	-0.18	-0.17	0.58	-0.01	0.38	-0.18	-0.22	-0.3	-0.58	-0.25	0.31	0.08	-0.01	-0.17	-0.17	-0.2	-0.51	-0.23	-0.14	-0.42
YOR290C	SNF2   TRANSCRIPTION       COMPONENT OF SWI/SNF GLOBAL ACTIVATOR COMPLEX	0.5		-0.42		-0.49	0.49	-0.01	-0.3	-0.18	-0.17	-0.01	-0.1	0.28	-0.29	0.29	0.3	0.42	-0.25	0.42	0.21	-0.3	-0.09	-0.1	-0.09	0.06	-0.14	-0.23	0.37	-0.34	0.36	0.19	-0.04	-1.25	0.61	0.19	-0.71	-0.12	-0.32	-0.2	0.12	0.28	-0.58	-0.62	0.72	0.5	-0.06	0.23	-0.36	0.2	0.78	0.68	0.23	0.69	-0.6	-0.27	-0.6	0.91	1.21	-0.22	0.19	0.06	0.73	0.23	-0.18	-0.64	-0.71	-1.18		0.61	0.06	0.58	0.5	-0.15	-0.18	-0.27	-0.42	-0.54	-0.47	-0.64
YPR104C	FHL1   TRANSCRIPTION       TRANSCRIPTIONAL ACTIVATOR 	-1.06	-1.06	-1.06	-0.29	-0.42	0.01		-0.07	-0.34	-0.56	-0.45	-0.43	-0.3	-0.03	0.01		0.12	-0.15	-0.17	-0.14	-0.47	-0.54	-0.09	-0.03	-0.14	-0.01	-0.27	-0.04	-0.32	-0.2	-0.4	-0.62	0.18	0.12	0.33	0.19	0.25	-0.17	-0.12	-0.29	0.12	0.45	-0.14	-0.81	-0.06	-0.4	-0.36	-0.43	0.82	0.91	1.15	0.99	1.01	-0.4		-0.22	0.82	0.9	-0.58	-0.62	-0.27	0.75	0.07	0.44	-0.34	-0.6	-0.71	-0.25	-0.3	0.74	0.77	1.01	-0.04	-0.01	-0.1	-0.25	-0.17	-0.56	-1.03
YBL014C	RRN6   TRANSCRIPTION       COMPONENT OF RDNA TRANSCRIPTION FACTOR COMPLEX	-0.23	-0.92	-0.56	-0.67	-0.47	-0.22	0.07	0.31	-0.27	-0.17	-0.45	-0.1	-0.3	0.15	-0.32	-0.12	0.26	0.16	-0.79	-0.47	-0.54	-0.06	-0.06	0.08	-0.4	-0.42	-0.29	-0.14	-0.45	-0.4	-0.27	-0.42	-0.67	0.51	-0.34	-0.22	-0.36	-0.01	-0.27	-0.03	-0.22	-0.22	-0.71	0.32	-0.64	-0.4	-0.64	-0.07				0.01	-0.09	-0.42	-0.4	-0.3	1.05	1.41	-0.12	-0.29	-0.14	1.03	-0.1	0.11	-0.43	-0.58	-0.54	-0.56	0.14	0.38	0.48	1.53	0.14	0.06	0.01	-0.62	-0.51	0.04	-0.34
YDR440W	"PCH1   MEIOSIS, CHECKPOINT    PUTATIVE ATPASE"	-0.38	-0.18	-0.14	0.26	0.15	0.03	-0.14	-0.03	-0.38	-0.2	-0.17	0.14	0.21	-0.3	-0.2	-0.34	0.15	-0.42	-0.22	-0.14	0.12	0.06	0.65	0.38	-0.12	-0.15	-0.2	-0.06	0.07	-0.32	-0.32	-0.34	-0.49	0.11	0.24	-0.27	-0.42	-0.6	0.06	0.08	-0.18	-0.22	-0.4	-1.06	-0.18	-0.45	-0.36	-0.14	0.49	0.62	0.3	0.18	0.18	-0.14	-0.79	-0.74	1.23	1	0.55	-0.42	-0.06	-0.09	-0.42	0.42	-0.38	-0.27	-0.58	-0.67	0.2	0.59	0.63	0.93	-0.25	-0.3	-0.15	-0.32	-0.4	-0.54	-1.32
YER114C	BOI2   BUD EMERGENCE       BINDS BEM1P	-0.58	-0.23	-0.84	-0.27	-0.09	0.11	-0.17	0.08	0.37	-0.12	0.11	-0.07	-0.04	0.18	0.32	0.54	-0.15	0.11	-0.04	0.18	0.2	0.36	0.11	0.29	0.23	0.2	0.33	0.2	0.01	0.24	0.32	0.11	-0.2	-0.07	-0.22	0.01	-0.6	-0.43	-0.34	0.55	0.41	-0.56	-0.4	0.25	-0.79	-0.79	-0.79	-0.03	0.34	0.77	0.5	0.34	0.62	-0.62	-0.36	-0.38	1.2	1.12	0.34	-0.34	-0.34	0.49	-0.12	0.4	-0.62	-0.69	-0.69	-0.64	0.12	0.16	0.57	0.92	0.08	-0.04	-0.18	-0.38	-0.4	-0.67	-0.74
YDR227W	"SIR4   SILENCING        NUCLEAR COILED-COIL PROTEIN, REGULATOR OF SILENCING"	-0.22		-0.45	-0.15	-0.18	-0.3	-0.04	-0.25	-0.36	-0.23	-0.36	-0.14	-0.14	-0.4	0.21	-0.27	-0.22	-0.42	-0.01	-0.27	-0.47	0.14	0.25	0.11	0.51	-0.03	-0.09	0.26	-0.34	-0.14	-0.56	-0.12	-0.29	-0.17	-0.03	0.24		-0.17	-0.09	0.16	-0.09	-0.07	-0.27	-0.92	-0.07	-0.43	-0.56	-0.42	-0.25	0.62	1.16	1.2	0.93	-1.09	0.51	0.53	0.01	-0.06	-0.09	-0.14	-0.12	-0.14	0.12	0.28	-0.47	-0.51	-0.67	-0.36	0.23	0.48	1.26	0.5	0.06	0.03	0.11	-0.43	-0.17	-0.12	-0.38
YAL043C	PTA1   TRNA PROCESSING     UNKNOWN	-0.2	-0.17	-0.15	-0.34	-0.29	-0.36	0.07	-0.25	0.04	-0.1	0.03	-0.62	-0.15	-0.36	-0.03	-0.07	-0.36	-0.25	0.07	-0.03	-0.17	0.44	0.12	-0.04	0.3	-0.09	0.11	-0.22	-0.42	0.21	-0.3	0.38	-0.43	0.11	-0.04	0.12	-0.76	0.38	0.15	-0.06	-0.04	0.14	-0.07	0.15	-0.43	-0.34	-0.38	-0.06	0.03	-0.03	0.71	0.8	0.58	-0.29	0.98	0.29	0.08	0.24	0.39	0.14	0.42	0.89	-0.09	0.74	-1	-0.86	-0.49	-0.43	0.38	0.69	1.36	0.74	0.03	-0.1	-0.62	-1.15	-0.62	-1.12	-0.4
YER164W	CHD1   TRANSCRIPTION       CHROMODOMAIN-HELICASE-DNA-BINDING (CHD) FAMILY	-0.18	-0.12	-0.22	0.03	-0.09	0.16	-0.03	0.15	0.29	-0.29	0.48	-0.12	-0.15	-0.25	0.33	0.6	-0.29	-0.23	0.04	-0.07	-0.06	0.29	-0.12	0.07	0.24	-0.03	-0.06	0.14	-0.15	-0.07	-0.18	0.06	-0.04	-0.15	0.46	-0.47	-0.71	-0.32	-0.25	0.14	0.3	-0.94	-0.56	-0.1	-1.29	-0.27	-0.89	-0.1	0.48	0.33	1.16	0.99	0.83	0.04	0.52	0.36	0.25	-0.04	0.24	-0.27	-0.32	0.73	-0.07	0.93	-0.49	-0.36	-0.64	-0.76	0.4	0.28	0.82	0.98	-0.03	-0.07	-0.2	-0.51	-0.62	-0.56	-0.42
YGR270W	YTA7   PROTEIN DEGRADATION    26S PROTEASOME SUBUNIT; ATPASE		-0.1	0.25	0.03	0.08	-0.25	0.04	-0.15	-0.07	-0.2	0.26	-0.03	0.03	-0.4	0.25	-0.04	-0.04	-0.29	-0.22	-0.4	-0.1	-0.25	-0.18	-0.42	-0.36	-0.23		-0.2	-0.6	-0.01	-0.17	-0.36	-0.25	-0.29	-0.32	-0.43	-0.84	-0.47	-0.3	-0.47	-0.43	-0.74	-0.6	0.36	-0.43	-0.22	-0.67	-0.43	-0.06	0.78	1.12	1.01	0.91	-0.79	0.07	-0.12	0.58	1.29	0.33	0.08	0.54	0.78	0.07	1.6	-0.36	-0.25	-0.22	-0.84	0.57	0.43	1.19	0.51	-0.18	-0.14	-0.22	-0.09	-0.1	-0.36	-0.14
YLR430W	"SEN1   TRNA SPLICING       RNA HELICASE, PUTATIVE"	-0.38	-0.36	-0.56	-0.43	-0.29	-0.29	-0.12	-0.4	-0.09	0.28	-0.25	-0.32	-0.18	-0.45	-0.42	-0.09	-0.38	-0.17	-0.45	-0.06	0.06	0.31	-0.03	-0.18	-0.14	0.43	-0.09	0.15	-0.12	0.04	0.23	0.03	-0.04	-0.22	-0.25	-0.15	-0.06	0.08	-0.12	-0.38	-0.17	-0.12	-0.27	0.1	-0.25	-0.45	-0.58	-0.36	0.06	0.56	0.98	0.61	0.81	-0.54	0.26	-0.25	-0.12	0.53	-0.04	0.12	0.26	0.32	-0.27	0.59	-0.6	-0.4	-1.15	-0.86	0.31	0.58	0.85	0.71	-0.25	-0.04	-0.01	-0.36	-0.36	-0.76	-0.69
YBR275C	RIF1   SILENCING        RAP1-INTERACTING PROTEIN	0.21	0.12	0.32	0.82	-0.04	-0.27		-0.06	-0.1	0.08			0.04	-0.09	-0.1	-0.18	-0.09	0.04	-0.22	-0.25	-0.3	-0.38	-0.04	-0.17	-0.36	-0.04	0.01	-0.4	-0.2	-0.38	-0.84	-0.09	0.31	-0.22	0.11	-0.03	-0.22	-0.32	-0.07	-0.06	-0.04	-0.34	-0.54	-0.18	-0.32	-0.4	-0.38	0.07		0.54	1.04	0.58	0.86	-0.81	0.41	0.1	0.81	0.63	0.19	-0.17	0.25	0.4	-0.42	1.74	-0.56	-0.4	-1.4	-1.06	-0.18	0.78	0.99	0.64	-0.3	-0.29	-0.12	-0.38	-0.69	-0.54	-0.84
YDR207C	UME6   MEIOSIS        TRANSCRIPTION FACTOR	0.19	0.58	0.48	0.53	0.19	-0.23	-0.04	0.44	0.15	-0.09	1	-0.36	0.19	0.5	0.93	0.23	-0.17	0.44	0.16	-0.64	0.38		-0.38	-0.58	-0.6	-0.6	-0.17	-0.23	-0.51	-0.84	-1.03	-0.36	-0.47	-0.49	0.23	-0.12	-0.22	-0.01	-0.29	-0.07	-0.01	-0.01	-0.47	-0.03	-0.27	-0.2	-0.56	-0.12	0.7	0.69	0.99	0.89	0.49	-0.01	0.3	-0.07	0.78	0.82	-0.01		0.32	0.39	-0.3	0.83	-0.74	-0.74	-0.69	-1.12	0.28	0.52	0.69	0.31	0.07	0.1	0.33	-0.25	-0.07	0.26	-0.27
YER105C	NUP157 NUCLEAR PROTEIN TARGETIN NUCLEAR PORE PROTEIN	-0.43	-0.74	-0.32	-0.34	-0.1	0.18	-0.22	-0.17	-0.07	-0.29	0.08	-0.18	-0.3	-0.25	0.38	0.08		-0.25	-0.62	-0.58	-0.6	-0.07	-0.49	-0.71	-0.6	-0.56	-0.12	-0.14	-0.49	-0.03	-0.34	-0.25	0.08		-0.18	-0.09	0.07	0.23	0.01	-0.22	-0.07	-0.22	-0.25	-0.71	-0.27	-0.38	-0.36	-0.4	-0.15	0.48	1.12	0.88	0.85	-0.67	0.2		0.26	0.59	0.07	-0.18	-0.12	0.32	0.34	0.34	-0.79	-0.81	-0.81	-0.38	0.26	0.23	-0.14	0.44	-0.01	0.07	-0.06	-0.18	-0.03	-0.54	-0.69
YGL212W	VAM7   VACUOLE BIOGENESIS    UNKNOWN; REGULATOR	-0.29	-0.64	-0.43	-0.23	-0.2	-0.18	0.06	-0.12	-0.27	-0.06	-0.64	-0.25	-0.07	-0.38	-0.23	-0.32	-0.01	-0.43	0.36	-0.67	-0.42	-0.3	0.01	-0.27	-0.51	-0.23	-0.23	-0.42	-0.07		-0.27	0.03	-0.38	-0.22	0.11	-0.1	-0.03	-0.42	-0.71	-0.54	0.14	-0.07	-0.3	-0.76	0.07	-0.1	0.04	-0.03		0.33	1.56	1.04	0.91	-0.29	0.18	-0.12	0.23	-0.42	-0.17	0.19	0.16	0.1	-0.38	0.7	-1	-0.14	-0.84	-0.84	0.03	0.32	0.31	0.36	-0.86	-0.76	0.07	-0.4	-0.09	0.99	0.53
YDR160W	SSY1   TRANSPORT        REGULATOR OF TRANSPORTERS	-0.09	-0.1	-0.15	-0.03	0.07	-0.3	-0.06	-0.23	-0.07	0.03	0.03	-0.1	-0.25	-0.49	-0.03	-0.23	-0.04	-0.01	0.04	-0.6	-0.4	-0.34	-0.38	-0.25	-0.36	-0.03	-0.03	0.12	-0.36	-0.58	-0.43	-0.17	-0.22	-0.04	-0.3	-0.54	-0.64	-0.2	-0.62	0.75	-0.42	-0.86	-0.51	-0.43	-0.58	-0.58	-0.62	-0.32	-0.01	0.43	1.51	1.3	1.38	-0.71	0.28	0.11	0.31	0.63	-0.07	0.23	0.19	0.25	0.25	1.23	-0.04	-0.27	-0.36	0.16	-0.09	0.04	0.49	0.89	-0.62	-0.3	0.23	-0.32	-0.62	0.57	0.33
YDR082W	STN1   TELOMERE LENGTH REGULATI ASSSOCIATES WITH CDC13P	-0.1	-0.34	-0.47	-0.2	-0.17	-0.03	0.03	-0.01	-0.07	-0.14	-0.36	-0.25		-0.25	-0.36	-0.32	0.11	-0.17	0.29	-0.23	-0.49	-0.09	0.14	-0.2	-0.25	-0.45	-0.62	-0.49	-0.1	-0.45	-0.92	-0.38	-0.42	-0.09	0.08	-0.43	-0.43	-0.34	-0.6	0.19	-0.6	-0.03	-0.47	-0.38	-0.54	-0.58	-0.6	-0.3	-0.23	-0.12	0.67	1.13	0.99	-0.2	0.4	0.68	0.21	-0.06	0.06	-0.51	0.19	0.11	0.2	1.13	-0.47	-0.25	-0.42	-0.69	-0.23	0.46	0.84	0.86	-0.89	-0.27	0.21	-0.36	-0.86	0.41	
YOL025W	LAG2   AGING          UNKNOWN	-0.15	0.11	-0.22	-0.54	-0.64	-0.1	-0.4	-0.14	-0.38	0.1	-0.54	-0.4	-0.3	-0.2	-0.97	-0.34	-0.25	-0.09	0.9	-0.12	-0.3	0.06	-0.04	-0.27	0.12	-0.29	-0.56	-0.42	0.04	-0.06	-0.56	0.01	0.26	0.25	-0.32	-0.14	0.03	0.04	0.1	0.07		-0.4	-0.27	0.01	-0.27	-0.04	-0.38	-0.14	0.03	0.39	1.29	1.25	1.19	-0.79	0.53	0.28	0.12	0.18	-0.25	0.5	0.26	0.57	0.4	0.44	-0.43	-0.36	-0.54	-0.04	-0.27	0.59	-0.25	-0.4	-0.38	-0.38	-0.14	-0.51	-0.58	0.32	-0.12
YNR058W	BIO3   BIOTIN BIOSYNTHESIS    DAPA AMINOTRANSFERASE	-0.23	-0.27	-0.06	-0.38	-0.3	-0.23		-0.23	-0.07	-0.12	-0.49	-0.03	-0.2	0.26	-0.74	-0.06	-0.42	-0.23	-0.79	-0.51	-0.09	-0.15	-0.29	-0.38	-0.45	-0.3	-0.3	-0.38	-0.14	-0.4	-1.22	-0.22	-0.32	0.08		-0.42	-0.69	-0.32	-0.64	0.61	-0.27	-1.32	-0.67	0.19	-1.15	-0.76	-1.36	-0.45	-0.56	0.15	1.04	0.29	0.81	-1.25	0.15	1.2	0.45	1.32	0.19	0.41	0.06	0.36	0.31	0.77	-0.62	-0.22	-0.64	-0.6	-0.23	0.58	0.11	0.72	-0.42	-0.69	-0.56	-0.43	-0.94		-0.58
